Tiempo desde erupcion (d);Magnitud;;;;;;;;;;;;
4633;8,4;;;;;;;;;;;;
4633,5;8,6;;;;;;;;;;;;
4633,5;8,8;;;;;;;;;;;;
4634,5;9,0;;;;;;;;;;;;
4634,5;8,6;;;;;;;;;;;;
4635,5;8,7;;;;;;;;;;;;
4636,5;8,7;;;;;;;;;;;;
4637,5;8,7;;;;;;;;;;;;
4637,5;8,8;;;;;;;;;;;;
4639,2;8,5;;;;;;;;;;;;
4639,5;8,8;;;;;;;;;;;;
4640,5;8,7;;;;;;;;;;;;
4640,6;9,0;;;;;;;;;;;;
4641,2;8,9;;;;;;;;;;;;
4642,5;8,7;;;;;;;;;;;;
4642,5;8,6;;;;;;;;;;;;
4642,5;8,8;;;;;;;;;;;;
4643,5;8,8;;;;;;;;;;;;
4644,2;9,1;;;;;;;;;;;;
4645;8,5;;;;;;;;;;;;
4645,5;8,6;;;;;;;;;;;;
4657,2;8,8;;;;;;;;;;;;
4658;8,3;;;;;;;;;;;;
4658,5;8,6;;;;;;;;;;;;
4661,5;8,6;;;;;;;;;;;;
4662;8,5;;;;;;;;;;;;
4717,7;9,4;;;;;;;;;;;;
4733,9;9,1;;;;;;;;;;;;
4734,9;9,0;;;;;;;;;;;;
4735,5;8,9;;;;;;;;;;;;
4737,9;9,1;;;;;;;;;;;;
4739,7;9,4;;;;;;;;;;;;
4746,7;9,3;;;;;;;;;;;;
4751,8;9,3;;;;;;;;;;;;
4753,3;9,5;;;;;;;;;;;;
4756,9;9,0;;;;;;;;;;;;
4758,3;9,1;;;;;;;;;;;;
4758,7;9,2;;;;;;;;;;;;
4758,9;9,1;;;;;;;;;;;;
4759,9;9,2;;;;;;;;;;;;
4763,4;8,8;;;;;;;;;;;;
4763,9;9,2;;;;;;;;;;;;
4767,9;9,2;;;;;;;;;;;;
4771,8;9,4;;;;;;;;;;;;
4780,6;9,2;;;;;;;;;;;;
4781,8;9,0;;;;;;;;;;;;
4781,8;9,1;;;;;;;;;;;;
4782,6;9,6;;;;;;;;;;;;
4790,8;9,2;;;;;;;;;;;;
4792,6;9,5;;;;;;;;;;;;
4795,4;9,0;;;;;;;;;;;;
4807,7;9,4;;;;;;;;;;;;
4810,7;9,3;;;;;;;;;;;;
4813,4;9,0;;;;;;;;;;;;
4814,8;9,5;;;;;;;;;;;;
4816,6;9,1;;;;;;;;;;;;
4817,8;9,1;;;;;;;;;;;;
4821,5;9,7;;;;;;;;;;;;
4823,7;9,5;;;;;;;;;;;;
4826,8;9,2;;;;;;;;;;;;
4837,7;9,1;;;;;;;;;;;;
4840,4;9,5;;;;;;;;;;;;
4840,7;9,1;;;;;;;;;;;;
4841,6;9,8;;;;;;;;;;;;
4842,6;9,4;;;;;;;;;;;;
4843,8;9,2;;;;;;;;;;;;
4845,4;9,7;;;;;;;;;;;;
4845,7;9,6;;;;;;;;;;;;
4850,2;9,1;;;;;;;;;;;;
4850,8;9,6;;;;;;;;;;;;
4852,5;9,5;;;;;;;;;;;;
4858,5;9,7;;;;;;;;;;;;
4864,8;9,3;;;;;;;;;;;;
4865,4;9,4;;;;;;;;;;;;
4867,7;9,5;;;;;;;;;;;;
4869,44;9,7;;;;;;;;;;;;
4871,4;9,7;;;;;;;;;;;;
4871,8;9,2;;;;;;;;;;;;
4872,8;9,1;;;;;;;;;;;;
4873,4;9,0;;;;;;;;;;;;
4873,7;9,3;;;;;;;;;;;;
4874,6;9,7;;;;;;;;;;;;
4875,4;9,6;;;;;;;;;;;;
4876,1;9,2;;;;;;;;;;;;
