Tiempo desde erupcion (d);Magnitud
3,681182;8,403
3,681679;8,404
3,682189;8,417
3,682663;8,422
3,683161;8,415
3,683659;8,391
3,684133;8,417
3,684619;8,427
3,685105;8,395
3,685603;8,415
3,686101;8,427
3,686598;8,408
3,687096;8,414
3,70149;8,485
3,903954;8,447
3,904602;8,439
3,905238;8,436
3,905887;8,438
3,906535;8,441
3,907148;8,441
3,907762;8,436
3,90841;8,436
3,909046;8,434
3,909683;8,426
4,02505;8,442
4,540927;8,54
4,541402;8,577
4,541865;8,556
4,542328;8,521
4,54279;8,489
4,543253;8,581
4,543728;8,481
4,544191;8,528
4,544665;8,51
4,54514;8,539
4,545591;8,566
4,546066;8,533
4,54654;8,545
4,546992;8,562
4,547466;8,537
4,547929;8,529
4,548404;8,542
4,548878;8,539
4,54933;8,492
4,549804;8,554
4,550267;8,535
4,550742;8,543
4,551216;8,561
4,551679;8,523
4,552142;8,551
4,552617;8,523
4,55308;8,535
4,553554;8,545
4,554029;8,553
4,55448;8,523
4,554955;8,56
4,555429;8,549
4,555881;8,542
4,556355;8,538
4,55683;8,546
4,557293;8,556
4,557767;8,556
4,558242;8,516
4,558693;8,56
4,559168;8,559
4,559642;8,544
4,560117;8,532
4,560603;8,53
4,561066;8,52
4,56154;8,532
4,562015;8,564
4,562466;8,561
4,562941;8,542
4,563415;8,557
4,563902;8,545
4,564353;8,568
4,564828;8,556
4,564874;8,904
4,565302;8,542
4,565765;8,568
4,566228;8,562
4,566703;8,567
4,567177;8,551
4,567652;8,573
4,568115;8,564
4,568578;8,568
4,569052;8,573
4,569527;8,577
4,56999;8,574
4,570453;8,566
4,570927;8,547
4,571402;8,583
4,571876;8,556
4,572351;8,564
4,572825;8,544
4,5733;8,587
4,573774;8,574
4,574249;8,574
4,574723;8,57
4,575198;8,566
4,575672;8,578
4,576147;8,574
4,576621;8,571
4,577096;8,583
4,577571;8,583
4,578045;8,579
4,578508;8,574
4,578971;8,589
4,579434;8,571
4,579909;8,58
4,580383;8,58
4,580858;8,571
4,581332;8,591
4,581795;8,568
4,582258;8,586
4,582709;8,576
4,583184;8,581
4,583659;8,596
4,584133;8,582
4,584608;8,576
4,585082;8,583
4,585545;8,595
4,586008;8,591
4,586471;8,577
4,586922;8,589
4,587397;8,591
4,587871;8,594
4,588346;8,604
4,588821;8,608
4,589295;8,6
4,58977;8,587
4,590244;8,596
4,591008;8,617
4,591483;8,616
4,591957;8,614
4,592432;8,609
4,592906;8,612
4,593381;8,607
4,593855;8,616
4,594318;8,636
4,594793;8,617
4,595256;8,621
4,59573;8,62
4,596182;8,617
4,596656;8,623
4,597119;8,615
4,597594;8,625
4,598068;8,628
4,598543;8,617
4,599017;8,631
4,599492;8,635
4,599966;8,633
4,600441;8,62
4,600915;8,619
4,601378;8,629
4,601841;8,618
4,602316;8,625
4,602779;8,627
4,603253;8,607
4,603716;8,637
4,604203;8,614
4,604677;8,635
4,605175;8,613
4,605638;8,619
4,606101;8,633
4,606575;8,638
4,60705;8,614
4,607513;8,635
4,607976;8,619
4,608462;8,646
4,608936;8,635
4,609411;8,623
4,609885;8,628
4,610348;8,651
4,610823;8,632
4,611297;8,638
4,611772;8,626
4,61227;8,638
4,612744;8,623
4,613219;8,645
4,613682;8,63
4,614156;8,632
4,614631;8,66
4,615117;8,655
4,61514;8,049
4,61543;8,039
4,615591;8,648
4,616054;8,608
4,616529;8,624
4,617038;8,636
4,617513;8,632
4,617987;8,629
4,618473;8,646
4,618948;8,64
4,619422;8,636
4,619897;8,638
4,620371;8,625
4,620846;8,642
4,621321;8,646
4,621795;8,642
4,62227;8,648
